gene_id,locus_tag,gene_symbol,product,functional_category,pathway,interpretation_hint,annotation_source
GENE_0041,SIM_RS00041,hk041,Conserved hypothetical protein,uncharacterized,unknown,No specific interpretation; inspect only if statistically strong,synthetic_teaching_annotation
GENE_0042,SIM_RS00042,met042,Central metabolism enzyme,central metabolism,core metabolism,Housekeeping-like metabolic function,synthetic_teaching_annotation
GENE_0043,SIM_RS00043,abc043,ABC transporter permease,transport,membrane transport,Generic transport function,synthetic_teaching_annotation
GENE_0044,SIM_RS00044,tca044,Tricarboxylic acid cycle enzyme,energy metabolism,TCA cycle,Core energy metabolism annotation,synthetic_teaching_annotation
GENE_0045,SIM_RS00045,sec045,Protein export component,protein processing,protein secretion,Protein localization and secretion function,synthetic_teaching_annotation
GENE_0047,SIM_RS00047,lip047,Lipid metabolism enzyme,lipid metabolism,membrane lipid metabolism,Cell envelope or membrane metabolism candidate,synthetic_teaching_annotation
GENE_0048,SIM_RS00048,tf048,Transcriptional regulator,regulation,transcription regulation,Regulatory protein; check neighboring genes or pathway context,synthetic_teaching_annotation
GENE_0049,SIM_RS00049,pep049,Peptidase family protein,protein turnover,proteolysis,Protein turnover function,synthetic_teaching_annotation
GENE_0050,SIM_RS00050,cell050,Cell envelope biogenesis protein,cell envelope,cell wall and envelope,Cell surface or envelope function,synthetic_teaching_annotation
GENE_0052,SIM_RS00052,met052,Central metabolism enzyme,central metabolism,core metabolism,Housekeeping-like metabolic function,synthetic_teaching_annotation
GENE_0054,SIM_RS00054,tca054,Tricarboxylic acid cycle enzyme,energy metabolism,TCA cycle,Core energy metabolism annotation,synthetic_teaching_annotation
GENE_0055,SIM_RS00055,sec055,Protein export component,protein processing,protein secretion,Protein localization and secretion function,synthetic_teaching_annotation
GENE_0056,SIM_RS00056,rec056,DNA repair protein,replication and repair,DNA repair,Genome maintenance function,synthetic_teaching_annotation
GENE_0057,SIM_RS00057,lip057,Lipid metabolism enzyme,lipid metabolism,membrane lipid metabolism,Cell envelope or membrane metabolism candidate,synthetic_teaching_annotation
GENE_0058,SIM_RS00058,tf058,Transcriptional regulator,regulation,transcription regulation,Regulatory protein; check neighboring genes or pathway context,synthetic_teaching_annotation
GENE_0059,SIM_RS00059,pep059,Peptidase family protein,protein turnover,proteolysis,Protein turnover function,synthetic_teaching_annotation
GENE_0060,SIM_RS00060,cell060,Cell envelope biogenesis protein,cell envelope,cell wall and envelope,Cell surface or envelope function,synthetic_teaching_annotation
GENE_0062,SIM_RS00062,met062,Central metabolism enzyme,central metabolism,core metabolism,Housekeeping-like metabolic function,synthetic_teaching_annotation
GENE_0063,SIM_RS00063,abc063,ABC transporter permease,transport,membrane transport,Generic transport function,synthetic_teaching_annotation
GENE_0064,SIM_RS00064,tca064,Tricarboxylic acid cycle enzyme,energy metabolism,TCA cycle,Core energy metabolism annotation,synthetic_teaching_annotation
GENE_0065,SIM_RS00065,sec065,Protein export component,protein processing,protein secretion,Protein localization and secretion function,synthetic_teaching_annotation
GENE_0066,SIM_RS00066,rec066,DNA repair protein,replication and repair,DNA repair,Genome maintenance function,synthetic_teaching_annotation
GENE_0067,SIM_RS00067,lip067,Lipid metabolism enzyme,lipid metabolism,membrane lipid metabolism,Cell envelope or membrane metabolism candidate,synthetic_teaching_annotation
GENE_0068,SIM_RS00068,tf068,Transcriptional regulator,regulation,transcription regulation,Regulatory protein; check neighboring genes or pathway context,synthetic_teaching_annotation
GENE_0069,SIM_RS00069,pep069,Peptidase family protein,protein turnover,proteolysis,Protein turnover function,synthetic_teaching_annotation
GENE_0070,SIM_RS00070,cell070,Cell envelope biogenesis protein,cell envelope,cell wall and envelope,Cell surface or envelope function,synthetic_teaching_annotation
GENE_0071,SIM_RS00071,hk071,Conserved hypothetical protein,uncharacterized,unknown,No specific interpretation; inspect only if statistically strong,synthetic_teaching_annotation
GENE_0072,SIM_RS00072,met072,Central metabolism enzyme,central metabolism,core metabolism,Housekeeping-like metabolic function,synthetic_teaching_annotation
GENE_0073,SIM_RS00073,abc073,ABC transporter permease,transport,membrane transport,Generic transport function,synthetic_teaching_annotation
